23 73
0 1 10
1 17 8
0 2 9
1 16 7
16 19 4
1 7 5
0 3 1
19 10 6
1 14 9
10 6 4
17 11 10
17 5 8
2 15 8
6 20 8
20 13 3
14 8 3
20 21 7
19 9 8
9 4 9
19 12 7
10 18 7
19 22 6
12 11 5
9 22 9
22 19 7
16 4 3
19 4 5
5 10 6
15 3 10
8 20 4
15 13 1
16 20 5
18 22 1
12 1 10
11 6 6
4 9 6
15 1 4
16 11 4
13 0 9
5 13 7
19 17 10
17 12 4
19 18 2
5 17 1
4 15 5
4 19 7
13 15 7
12 21 2
12 14 5
4 21 5
2 22 2
15 21 9
4 14 10
18 11 3
11 12 1
8 4 9
15 11 6
3 10 7
1 15 9
7 13 7
0 11 6
16 5 2
1 2 7
15 14 1
3 11 8
3 21 1
15 7 6
4 18 8
2 10 6
6 0 9
12 7 4
3 15 10
18 16 5


5 11
0 1 3
0 2 3
0 3 3
1 2 1
1 3 2
2 1 1
2 4 2
3 1 2
3 4 1
4 2 2
4 3 1


23 73
0 1 10
1 17 8
0 2 9
1 16 7
16 19 4
1 7 5
0 3 1
19 10 6
1 14 9
10 6 4
17 11 10
17 5 8
2 15 8
6 20 8
20 13 3
14 8 3
20 21 7
19 9 8
9 4 9
19 12 7
10 18 7
19 22 6
12 11 5
9 22 9
22 19 7
16 4 3
19 4 5
5 10 6
15 3 10
8 20 4
15 13 1
16 20 5
18 22 1
12 1 10
11 6 6
4 9 6
15 1 4
16 11 4
13 0 9
5 13 7
19 17 10
17 12 4
19 18 2
5 17 1
4 15 5
4 19 7
13 15 7
12 21 2
12 14 5
4 21 5
2 22 2
15 21 9
4 14 10
18 11 3
11 12 1
8 4 9
15 11 6
3 10 7
1 15 9
7 13 7
0 11 6
16 5 2
1 2 7
15 14 1
3 11 8
3 21 1
15 7 6
4 18 8
2 10 6
6 0 9
12 7 4
3 15 10
18 16 5
